text,label
"Я забыл пароль","forgot_password"
"Помогите восстановить пароль","forgot_password"
"Как изменить пароль?","forgot_password"
"Хочу поменять почту","change_email"
"Нужно сменить адрес электронной почты","change_email"
"Как изменить почтовый адрес?","change_email"
"Не могу вспомнить пароль","forgot_password"
"Не могу войти в аккаунт, забыл пароль","forgot_password"
"Потерял доступ к почте, что делать?","change_email"
"Хочу изменить электронную почту","change_email"
"Мне нужно сменить почту","change_email"
"как изменить никнейм?","change_nickname"
"поменять ник","change_nickname"
"смена имени","change_nickname"
"поменять имя","change_nickname"
"кто автор проекта?","project_authors"
"кто разработал этот проект?","project_authors"
"кто создал проект","project_authors"
"кто ответственный за проект","project_authors"
"Как поменять никнейм?","change_nickname"
"Могу ли я изменить ник?","change_nickname"
"Как изменить имя пользователя?","change_nickname"
"Кто разработал этот продукт?","project_authors"
"Кто создал это приложение?","project_authors"
"Я забыл пароль от своего аккаунта, помогите мне восстановить его",forgot_password
"Как мне поменять свой никнейм в приложении?",change_nickname
"Мне нужно изменить адрес электронной почты, как это сделать?",change_email
"Кто создал это приложение?",project_authors
"Я не могу войти в аккаунт, возможно, я забыл пароль",forgot_password
"Где я могу сменить свой ник?",change_nickname
"Пожалуйста, помогите мне изменить адрес почты",change_email
"Кто разработал эту платформу?",project_authors
"Как восстановить доступ к аккаунту, если забыл пароль?",forgot_password
"Как поменять отображаемое имя в профиле?",change_nickname
"Не могу найти, где изменить адрес электронной почты",change_email
"Кто стоит за созданием этого продукта?",project_authors
"Моя почта изменилась, как обновить информацию в профиле?",change_email
"Забыл пароль и не могу войти в аккаунт",forgot_password
"Как изменить никнейм?",change_nickname
"Система не принимает мой пароль, что делать?",forgot_password
"Можно ли поменять никнейм более одного раза?",change_nickname
"Какой процесс для изменения почты в системе?",change_email
"Можно узнать, кто разрабатывал это приложение?",project_authors
"Не получается сменить пароль, что делать?",forgot_password
"Как часто можно менять никнейм?",change_nickname
"Как долго занимает смена адреса почты?",change_email
"Сколько людей работало над этим проектом?",project_authors
